,network,n_bins,estimator,accuracy,precision,recall,f1,time
64,network_3,9_bins,BayesianEstimator,0.834,0.35,0.342,0.34,26.987
65,network_3,9_bins,MaxLLEstimator,0.831,0.347,0.341,0.338,31.12
66,network_4,9_bins,BayesianEstimator,0.831,0.369,0.356,0.358,24.121
67,network_4,9_bins,MaxLLEstimator,0.827,0.365,0.355,0.357,23.361
68,naive_bayes,9_bins,BayesianEstimator,0.841,0.4,0.383,0.389,7.221
69,naive_bayes,9_bins,MaxLLEstimator,0.841,0.4,0.383,0.389,8.317
70,hcs_bic,9_bins,BayesianEstimator,0.858,0.397,0.359,0.361,7.286
71,hcs_bic,9_bins,MaxLLEstimator,0.858,0.397,0.359,0.361,8.824
72,hcs_bdeu,9_bins,BayesianEstimator,0.871,0.29,0.333,0.31,10.429
73,hcs_bdeu,9_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,10.007
74,hcs_k2,9_bins,BayesianEstimator,0.864,0.416,0.362,0.365,19.186
75,hcs_k2,9_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,19.624
76,pc,9_bins,BayesianEstimator,0.871,0.29,0.333,0.31,16.566
77,pc,9_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,16.975
78,hcs_network_1,9_bins,BayesianEstimator,0.871,0.29,0.333,0.31,21.502
79,hcs_network_1,9_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,18.174
80,hcs_network_2,9_bins,BayesianEstimator,0.864,0.416,0.362,0.365,20.913
81,hcs_network_2,9_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,19.716
82,hcs_network_3,9_bins,BayesianEstimator,0.864,0.416,0.362,0.365,20.731
83,hcs_network_3,9_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,19.716
84,hcs_network_4,9_bins,BayesianEstimator,0.871,0.29,0.333,0.31,21.312
85,hcs_network_4,9_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,21.202
86,hcs_naive_bayes,9_bins,BayesianEstimator,0.864,0.416,0.362,0.365,19.388
87,hcs_naive_bayes,9_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,19.76
88,hcs_pc,9_bins,BayesianEstimator,0.871,0.29,0.333,0.31,14.085
89,hcs_pc,9_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,13.714
